年份	考生地区	文理分科	批次名称	最低控制分数线
2015	山西		理科		本科一批		515
2015	内蒙古		理科		本科一批		464
2015	辽宁		理科		本科一批		500
2015	吉林		理科		本科一批		525
2015	黑龙江		理科		本科一批		483
2015	上海		理科		本科一批		414
2015	江苏		理科		本科一批		344
2015	浙江		理科		本科一批		605
2015	安徽		理科		本科一批		555
2015	福建		理科		本科一批		525
2015	江西		理科		本科一批		540
2015	山东		理科		本科一批		562
年份	考生地区	文理分科	批次名称	最低控制分数线
2014	北京		理科		本科一批		543
2014	天津		理科		本科一批		516
2014	河北		理科		本科一批		573
2014	山西		理科		本科一批		534
2014	内蒙古		理科		本科一批		501
2014	辽宁		理科		本科一批		526
2014	吉林		理科		本科一批		555
2014	黑龙江		理科		本科一批		529
2014	上海		理科		本科一批		423
2014	江苏		理科		本科一批		345
2014	浙江		理科		本科一批		597
2014	安徽		理科		本科一批		489
2014	福建		理科		本科一批		506
2014	江西		理科		本科一批		526
2014	山东		理科		本科一批		572
年份	考生地区	文理分科	批次名称	最低控制分数线
2016	贵州		理科		本科一批		473
2016	云南		理科		本科一批		525
2016	甘肃		理科		本科一批		490
2016	宁夏		理科		本科一批		465
年份	考生地区	文理分科	批次名称	最低控制分数线
2012	河南		理科		本科一批		540
2012	湖北		理科		本科一批		551
2012	湖南		理科		本科一批		520
2012	广东		理科		本科一批		585
2012	广西		理科		本科一批		528
2012	海南		理科		本科一批		614
2012	重庆		理科		本科一批		522
2012	四川		理科		本科一批		518
2012	贵州		理科		本科一批		470
2012	云南		理科		本科一批		465
2012	西藏		理科		本科一批		460
2012	陕西		理科		本科一批		517
2012	甘肃		理科		本科一批		517
2012	青海		理科		本科一批		401
2012	宁夏		理科		本科一批		440
年份	考生地区	文理分科	批次名称	最低控制分数线
2010	河南		理科		本科一批		552
2010	湖北		理科		本科一批		557
2010	湖南		理科		本科一批		567
2010	广东		理科		本科一批		621
2010	广西		理科		本科一批		500
2010	海南		理科		本科一批		624
2010	重庆		理科		本科一批		533
2010	四川		理科		本科一批		512
2010	贵州		理科		本科一批		481
2010	云南		理科		本科一批		500
2010	西藏		理科		本科一批		455
2010	陕西		理科		本科一批		556
2010	甘肃		理科		本科一批		531
2010	青海		理科		本科一批		405
2010	宁夏		理科		本科一批		474
年份	考生地区	文理分科	批次名称	最低控制分数线
2013	河南		理科		本科一批		505
2013	湖北		理科		本科一批		527
2013	湖南		理科		本科一批		495
2013	广东		理科		本科一批		574
2013	广西		理科		本科一批		510
2013	海南		理科		本科一批		608
2013	重庆		理科		本科一批		520
2013	四川		理科		本科一批		562
2013	贵州		理科		本科一批		449
2013	云南		理科		本科一批		495
2013	西藏		理科		本科一批		470
2013	陕西		理科		本科一批		485
2013	甘肃		理科		本科一批		489
2013	青海		理科		本科一批		383
2013	宁夏		理科		本科一批		455
年份	考生地区	文理分科	批次名称	最低控制分数线
2015	河南		理科		本科一批		529
2015	湖北		理科		本科一批		509
2015	湖南		理科		本科一批		526
2015	广东		理科		本科一批		577
2015	广西		理科		本科一批		480
2015	海南		理科		本科一批		546
2015	海南		理科		本科一批		608
2015	重庆		理科		本科一批		573
2015	四川		理科		本科一批		528
2015	贵州		理科		本科一批		453
2015	云南		理科		本科一批		500
2015	西藏		理科		本科一批		420
2015	陕西		理科		本科一批		480
2015	甘肃		理科		本科一批		475
2015	青海		理科		本科一批		400
年份	考生地区	文理分科	批次名称	最低控制分数线
2014	河南		理科		本科一批		547
2014	湖北		理科		本科一批		533
2014	湖南		理科		本科一批		522
2014	广东		理科		本科一批		560
2014	广西		理科		本科一批		520
2014	海南		理科		本科一批		606
2014	重庆		理科		本科一批		514
2014	四川		理科		本科一批		540
2014	贵州		理科		本科一批		484
2014	云南		理科		本科一批		525
2014	西藏		理科		本科一批		460
2014	陕西		理科		本科一批		503
2014	甘肃		理科		本科一批		516
2014	青海		理科		本科一批		406
2014	宁夏		理科		本科一批		473
年份	考生地区	文理分科	批次名称	最低控制分数线
2012	新疆		理科		本科一批		445
年份	考生地区	文理分科	批次名称	最低控制分数线
2010	新疆		理科		本科一批		471
年份	考生地区	文理分科	批次名称	最低控制分数线
2013	新疆		理科		本科一批		443
年份	考生地区	文理分科	批次名称	最低控制分数线
2011	北京		理科		本科一批		484
2011	天津		理科		本科一批		515
2011	河北		理科		本科一批		581
2011	山西		理科		本科一批		570
2011	内蒙古		理科		本科一批		482
2011	辽宁		理科		本科一批		520
2011	吉林		理科		本科一批		548
2011	黑龙江		理科		本科一批		551
2011	上海		理科		本科一批		462
2011	江苏		理科		本科一批		345
2011	浙江		理科		本科一批		550
2011	安徽		理科		本科一批		534
2011	福建		理科		本科一批		573
2011	江西		理科		本科一批		531
2011	山东		理科		本科一批		567
年份	考生地区	文理分科	批次名称	最低控制分数线
2014	新疆		理科		本科一批		475
年份	考生地区	文理分科	批次名称	最低控制分数线
2015	宁夏		理科		本科一批		445
2015	新疆		理科		本科一批		446
年份	考生地区	文理分科	批次名称	最低控制分数线
2011	河南		理科		本科一批		582
2011	湖北		理科		本科一批		571
2011	湖南		理科		本科一批		572
2011	广东		理科		本科一批		568
2011	广西		理科		本科一批		506
2011	海南		理科		本科一批		615
2011	重庆		理科		本科一批		533
2011	四川		理科		本科一批		519
2011	贵州		理科		本科一批		448
2011	云南		理科		本科一批		465
2011	西藏		理科		本科一批		450
2011	陕西		理科		本科一批		540
2011	甘肃		理科		本科一批		501
2011	青海		理科		本科一批		380
2011	宁夏		理科		本科一批		486
年份	考生地区	文理分科	批次名称	最低控制分数线
2011	新疆		理科		本科一批		473
